Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ,@
FingerMovements,Motion (General),28,50,Not specified,timeseriesclassification.com,https://www.timeseriesclassification.com/description.php?Dataset=FingerMovements,This dataset uses 28 sensor channels to track finger movements for binary classification.  The specific type of sensors used is not explicitly mentioned in the available metadata.  The task involves distinguishing between upcoming left and right hand movements.,A 2-class (left hand vs. right hand movement) classification problem with 316 training instances and 100 testing instances.,210,1,10,Split into 2 records on 2025-08-01 18:20:24,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish,Image,1,463,Not specified,"timeseriesclassification.com, cs.ucr.edu",Fish Description,This dataset contains shape outlines of 7 different species of fish. The task is to classify the fish species based on its outline.,Donated by D. Lee. A 7-class problem with 175 training and 175 testing instances.,211,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:21:07,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
FIXINV,Macroeconomic,1,167,Quarterly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),"A quarterly macroeconomic time series from the M2 Forecasting Competition, representing an economic indicator from the USA or France.","Part of a set of 29 series used in a real-time, two-round competition structure. The full historical data is in the M2CALL subset.",212,2,10,Auto-reconciled (1 unique source) on 2025-08-01 18:21:07,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
FLMARKT,Corporate,1,94,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),A monthly corporate time series from the M2 Forecasting Competition. This series was provided by one of four collaborating companies and was anonymized.,"Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",213,2,10,Auto-reconciled (1 unique source) on 2025-08-01 18:21:08,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
FloodModeling1,Environmental Monitoring,1,266,Not Applicable (Simulation Steps),Jihane Elyahyioui (Simulated),Link,"This is one of three datasets generated from a high-fidelity numerical solver for flood simulations.15 The task is to predict a flood characteristic (e.g., maximum water level) based on a univariate time series representing the evolution of the flood wave over 266 simulation steps.","This dataset is unique as it is synthetically generated, not from physical sensors. This means the data is clean (no missing values) but represents complex, non-linear fluid dynamics. The three FloodModeling datasets likely represent different simulation scenarios or topographies, testing a model's generalization across varied physical conditions.",214,1,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FloodModeling2,Environmental Monitoring,1,266,Not Applicable (Simulation Steps),Jihane Elyahyioui (Simulated),Link,"A second dataset from the same flood simulation source as FloodModeling1. It is a univariate time series of 266 steps, with the task being the prediction of a flood-related outcome.","As with its counterparts, this dataset tests a model's ability to learn from simulated physical processes. Comparing performance across the three FloodModeling datasets can assess how robust an algorithm is to changes in the underlying simulation parameters.",215,1,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FloodModeling3,Environmental Monitoring,1,266,Not Applicable (Simulation Steps),Jihane Elyahyioui (Simulated),Link,The third dataset from the flood simulation suite. It presents another univariate time series of 266 steps for predicting a flood characteristic.,This completes the trio of simulated flood datasets. Their primary value is in providing a controlled environment to study how well TSER models can approximate the output of complex physical simulators.,216,1,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FordA,Sensor,1,500,Not specified,"timeseriesclassification.com, cs.ucr.edu",FordA Description,"This dataset is from an automotive context, involving engine noise. The binary classification task is to diagnose whether a specific symptom is present.",Donated by A. Bagnall. It includes 3601 instances for training and 1320 for testing.,217,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:21:08,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
FordB,Sensor,1,500,Not specified,"timeseriesclassification.com, cs.ucr.edu",FordB Description,"A follow-up to FordA, this dataset also involves engine noise. The binary classification task is to diagnose whether a specific symptom is present.",Donated by A. Bagnall. It includes 3636 instances for training and 810 for testing.,218,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:21:09,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
FordChallenge,Other,30,40,100 ms (1/10 Hz),Kaggle: Stay Alert! The Ford Challenge 22,monster-monash/FordChallenge,"This dataset comes from a Kaggle competition and is designed for driver alertness detection. It contains data from 600 real-time driving sessions. Each instance is a multivariate time series of 30 variables sampled at 10 Hz. The variables include physiological, environmental, and vehicular measurements, though their specific identities are not disclosed. The task is a binary classification: predict whether the driver is ""alert"" or ""distracted"".5","This is a challenging real-world problem with anonymized multivariate sensor data. The key difficulty is to find patterns across the 30 heterogeneous channels that correlate with a driver's cognitive state, without knowing the physical meaning of each channel.",219,1,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED-MD / FRED-QD,Economics,100+,700+,Monthly / Quarterly,Federal Reserve Bank of St. Louis,St. Louis Fed,"Large macroeconomic databases containing over 100 monthly (MD) and 200+ quarterly (QD) U.S. time series for output, labor, prices, finance, etc.","A benchmark for macroeconomic research and forecasting, updated in real-time and designed to facilitate the replication of empirical work.",220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
FRED-MD,Macroeconomics,107 (Macroeconomic Indicators),"728 (Note: This can vary based on the specific version being used, as the dataset is updated regularly.)",Monthly (1M),Federal Reserve Bank of St. Louis (FRED database),https://research.stlouisfed.org/econ/mccracken/fred-databases/,"A monthly database of US macroeconomic indicators maintained and updated by the Federal Reserve Bank of St. Louis. It includes a variety of transformed (e.g., differenced, log-transformed) indicators related to output, employment, consumption, inflation, and financial markets, serving as a standard benchmark for macroeconomic research and forecasting.","The dataset has evolved over time and might contain a different number of series depending on the version being used (e.g., starting with 134 and now containing 127 as of December 2023).  Always verify the exact number of series included in the specific version you download.",221,9,10,Reconciled on 2025-08-01 18:21:22,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,X,X,,,,,,,Y,,,,,,,X,,,,,,,,,,,,,,,
fred_md_monthly,Economic,>1 (Multivariate),728,Monthly,Zenodo,Zenodo Record,Contains 107 monthly time series of macro-economic indicators from the Federal Reserve Economic Data (FRED) database.,Sourced from Federal Reserve. Part of the common TSF-32 subset.,222,3,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:06,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,
FreezerRegularTrain,Sensor,1,301,Not specified,"timeseriesclassification.com, cs.ucr.edu",FreezerRegularTrain Description,This Sensor dataset contains power consumption data from a freezer. The binary classification task is related to the operational state of the freezer. This version has a regular-sized training set.,Sourced from the REFIT project. It includes 150 instances for training and 2850 for testing.,223,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:06,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
FreezerSmallTrain,Sensor,1,301,Not specified,"timeseriesclassification.com, cs.ucr.edu",FreezerSmallTrain Description,This Sensor dataset contains power consumption data from a freezer. The binary classification task is related to the operational state of the freezer. This version has a small training set.,Sourced from the REFIT project. It includes 28 instances for training and 2850 for testing.,224,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:07,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
FruitFlies,Audio,1,5000,125mus (1/8 kHz),"Potamitis, I. et al. (2015)",monster-monash/FruitFlies,This dataset contains acoustic recordings of the wingbeats of three different species of fruit fly. The sounds were captured using a specialized infrared (optoelectronic) sensor that records the fluctuation of light as an insect's wings pass through its beam. The data was sampled at 8 kHz. The task is to classify the fruit fly species based on its wingbeat signature.5,"This dataset tests a model's ability to distinguish between very subtle, quasi-periodic signals. The classification relies on capturing fine-grained differences in the frequency and pattern of the wingbeats. The use of an optical sensor instead of a microphone results in a very clean, low-noise signal focused purely on the wing-beat pattern.",225,1,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungi,HRM,1,201,Not specified,"timeseriesclassification.com, cs.ucr.edu",Fungi Description,This HRM (High Resolution Melt) dataset contains data from DNA melt curves. The task is to classify samples into one of 18 different fungi species.,Donated by W. Fonzi. An 18-class problem with 18 training and 186 testing instances.,226,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:07,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
Gas sensor array low-concentration,Sensor / Environment,9,90,Variable,UCI Machine Learning Repository,Link to Data,"Contains responses from an array of 10 metal oxide semiconductor sensors to 6 different gases at very low concentrations (ppb level), below the sensors' minimum detection limit.8","A challenging sensor signal processing problem. The goal is to classify or quantify gas concentrations from noisy sensor data at the edge of their operational capability, testing the limits of signal extraction algorithms.",227,2,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:08,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,
Genesis,Industrial Automation,1,16220,50 ms,inIT - Institute Industrial IT,Kaggle Dataset,"Data from a portable pick-and-place demonstrator. The anomalies are manually annotated and represent physical faults, such as the linear drive being jammed or tilted. This dataset provides examples of mechanical failures in a robotic system, a key application for predictive maintenance.",This dataset is part of the TSB-UAD benchmark suite for time-series anomaly detection.,228,2,10,Split into 2 records on 2025-08-01 18:22:23,"Multiple Datasets

The name ""Genesis"" is ambiguous and refers to at least two distinct datasets based on the provided evidence: one related to industrial automation and the other to general object-oriented scene representation learning.  While both involve some form of visual data, their application domains, data structures, and intended uses are different.  Specifically, the industrial automation datasets focus on time-series data for anomaly detection in a pick-and-place robot demonstrator. In contrast, the 'genesis' dataset from applied-ai-lab/genesis on GitHub involves image data and segmentation masks for training scene decomposition models. This difference in data types alone confirms they are separate datasets.  The descriptions, links, and repositories further reinforce this distinction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genesis,"Computer Vision, Scene Decomposition",Not applicable (image data),Not applicable (image data),Not applicable (image data),applied-ai-lab/genesis (GitHub),(See repository for instructions - multiple components),"A dataset used for training and evaluating unsupervised scene decomposition models, particularly GENESIS and GENESIS-V2. It includes various synthetic and real-world scene datasets like Multi-dSprites, GQN (rooms-ring-camera), ShapeStacks, and potentially others assembled for the purpose of the referenced ICLR and ICML papers.  Each dataset component requires separate setup and preprocessing.","This dataset focuses on object-centric representation learning and generation within scenes. It's designed to enable models to decompose scenes into individual objects, understand their properties, and potentially generate new scenes.",228,1,10,Split into 2 records on 2025-08-01 18:22:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information System (GIS) Data,GIS,N/A (Pixels/Layers),N/A,N/A,"User's Cloud Storage (AWS S3, GCP, Azure Blob Storage), Dataloop Internal Storage",Dataloop Supported Formats,"Supports COG, GeoTIFF, OSM, XYZ. Used for geospatial analysis, mapping, environmental monitoring.",Provides capabilities for managing and annotating spatial data.,229,1,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GestureMidAirD1,Trajectory,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",GestureMidAirD1 Description,This Trajectory dataset contains 1-dimensional time series of unequal length. The classification task is to categorize mid-air gestures into one of 26 classes.,Donated by H. A. Dau. It includes 208 instances for training and 130 for testing.,230,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:52,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
GestureMidAirD2,Trajectory,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",GestureMidAirD2 Description,This Trajectory dataset contains 1-dimensional time series of unequal length. The classification task is to categorize mid-air gestures into one of 26 classes.,Donated by H. A. Dau. It includes 208 instances for training and 130 for testing.,231,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:52,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
GestureMidAirD3,Trajectory,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",GestureMidAirD3 Description,This Trajectory dataset contains 1-dimensional time series of unequal length. The classification task is to categorize mid-air gestures into one of 26 classes.,Donated by H. A. Dau. It includes 208 instances for training and 130 for testing.,232,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:53,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
GesturePebbleZ1,Sensor,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",GesturePebbleZ1 Description,This Sensor dataset contains 1-dimensional time series of unequal length from a Pebble smartwatch. The classification task is to categorize gestures into one of 6 classes.,Donated by I. Maglogiannis. It includes 132 instances for training and 172 for testing.,233,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:53,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
GesturePebbleZ2,Sensor,1,Unequal,Not specified,"timeseriesclassification.com, cs.ucr.edu",GesturePebbleZ2 Description,This Sensor dataset contains 1-dimensional time series of unequal length from a Pebble smartwatch. The classification task is to categorize gestures into one of 6 classes.,Donated by I. Maglogiannis. It includes 146 instances for training and 158 for testing.,234,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:22:54,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
gfc14_load,Energy,Multiple,130000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,Load forecasting data from the Global Energy Forecasting Competition 2014.,Another classic energy forecasting competition dataset. 3,235,1,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gfc17_load,Energy,Multiple,180000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,Load forecasting data from the Global Energy Forecasting Competition 2017.,Competition data provides a standardized and challenging forecasting problem. 3,236,1,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHL (Gasoil Heating Loop Simulation),Industrial Control System Security,"1 (TSB-UAD MOMENT) / 19 (arXiv) / 270 (arXiv, full dataset)",200001 (TSB-UAD MOMENT),Varies (TSB-UAD MOMENT),"Filonov et al., 2016","https://www.researchgate.net/publication/311769693 and possibly other sources mentioned in Filonov et al., 2016","A simulated dataset of an industrial gasoil heating loop process, used for anomaly detection research.  The dataset contains time series data representing various measurements, including temperature and reservoir levels. Anomalies are injected and correspond to simulated cyberattacks impacting control logic set-points.  The full dataset includes 270 variables though a reduced 19-variable version is commonly used. Four attack types targeting control logic set-points are included: max RT level, max HT temperature, pump frequency, and system relaxing time.",Valuable for industrial control system security and fault detection research due to realistic attack vectors.,237,3,10,Split into 3 records on 2025-08-01 18:23:15,"Multiple Datasets

The name ""GHL"" is ambiguous and refers to at least three distinct datasets:

* **Dataset 1:** An industrial control systems dataset related to a gasoil heating loop simulation. This dataset focuses on time series data from a simulated gasoil heating process, with anomalies representing cyberattacks.
* **Dataset 2:** A demand elasticity dataset. This dataset provides economic data, including cross-price demand elasticities, and is used for economic modeling and analysis.
* **Dataset 3:**  A dataset related to built-up surfaces, volumes, and population within the Global Human Settlement Layer (GHSL) project.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHL (Demand Data),"Economics, Finance","Not specified. Varies depending on the specific data being referenced (e.g., cross-price elasticities, markups, etc.).",Not specified.  Likely varies depending on the specific analysis.,Not specified. Likely varies depending on the specific analysis.,Mentioned in Bruno Pellegrino's website.,Contact Bruno Pellegrino through his website for data access.,"Provides demand elasticities (cross-price, inverse cross-price, own-price), markups, and diversion ratios for US publicly traded corporations. The dataset is derived from Compustat balance sheet data and Hoberg-Phillips TNIC cosine similarity scores, using a Generalized Hedonic-Linear (GHL) demand system.","Useful for researchers studying market competition, particularly in macroeconomics and finance. The specific elasticities depend on assumptions about firm conduct (e.g., Cournot Oligopoly).",237,1,10,Split into 3 records on 2025-08-01 18:23:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHL (Global Human Settlement Layer),"Geospatial Analysis, Urban Development, Earth Observation",Varies depending on the specific dataset within the GHSL.,Varies depending on the specific dataset within the GHSL. Data is often multi-temporal.,Varies depending on the specific dataset within the GHSL.,"European Commission, Joint Research Centre (JRC)",Various download links available on the Copernicus and JRC Data Catalogue websites.,"Encompasses a collection of datasets providing global spatial information on human settlements, including built-up areas (surfaces, volumes), population distribution, and urban center characteristics. Offers multi-temporal analysis capabilities, allowing for the observation of changes over time.","GHSL supports research and policy-making in various areas, including urban planning, disaster risk reduction, and sustainable development.",237,3,10,Split into 3 records on 2025-08-01 18:23:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIFT-Eval Benchmark Datasets,Mixed (7 domains),">144,000 series (Univariate & Multivariate)","~177,000,000",Mixed (10 frequencies from 10S to Yearly),GIFT-Eval,GitHub:  Hugging Face: https://huggingface.co/datasets/Salesforce/GiftEval,"A massive, modern benchmark for general time series forecasting, specifically designed to ensure fair, non-leaking evaluation of foundation models. It includes over 23 datasets covering seven domains, including finance, nature, and web/cloud operations.","12 TTM's inclusion and strong performance in the GIFT-Eval leaderboard provide crucial, independent validation of its capabilities. Competing effectively in this controlled, community-accepted environment lends significant credibility to the model's claims of robust generalization.",238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Global Significant Earthquake Database (Kaggle),General Seismology Data,"21 (Date, Time, Lat, Lon, Depth, Mag, etc.)","~23,400 events",Continuous (event-driven),National Earthquake Information Center (NEIC) / Kaggle,Kaggle Dataset Link,"A general-purpose, tabular dataset of significant global earthquakes from 1965 to 2016. It contains numerous raw and metadata fields for each earthquake event. Sourced from the USGS.","Not part of the MLCommons benchmark. Included for contrast. This represents a typical, uncurated dataset that requires significant preprocessing and domain knowledge to be used for rigorous time-series forecasting, highlighting the value of the `EarthquakeNPP` collection.",239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
godaddy,Business & Web,"Multivariate (microbusiness density, GMV, etc.).",2019 - present 56,Quarterly 56,GoDaddy Microbusiness Data Hub,https://www.godaddy.com/ventureforward/microbusiness-datahub/,"A collection of datasets tracking the activity and health of over 20 million online microbusinesses, including economic indices and venture density metrics.56",Unique for its low frequency (quarterly) and focus on economic metrics. Exposes the model to macroeconomic trends and business cycles on much longer time scales.,240,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Gravitational Wave Open Science Center (GWOSC) Event Data,Gravitational Wave Astrophysics,"Variable (typically 2-3 detectors, e.g., LIGO Hanford, LIGO Livingston, Virgo)","Variable. Data is provided as continuous streams or short segments around specific events (e.g., 30 seconds).","Variable sampling rates, often 4096 Hz (~244 µs) or higher.",Gravitational Wave Open Science Center (GWOSC),GWOSC Portal,"GWOSC provides public access to strain data from the LIGO, Virgo, and KAGRA observatories. This includes cumulative catalogs of confirmed gravitational-wave transient events (GWTC), bulk data from entire observing runs, and tools/tutorials for analysis.","This is the primary source for real observational data used in many studies, including for the noise background in the MLGWSC-1 challenge.",241,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangzhou Traffic Speed,Transportation,214,"1,855,589 (total observations)",10 minutes,Guangzhou Transport Research Institute,GitHub,"Urban traffic speed data from 214 anonymous road segments in Guangzhou, China, from August 1 to September 30, 2016.","The dataset is provided as both a CSV and a third-order tensor in Matlab format, with an original missing data rate of 1.29%.",242,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
GunPoint,Motion (Human Activity),1 (Univariate: X-axis motion of right hand),150,"Approximately 33 milliseconds (based on 30 frames-per-second video capture, as implied by Source 11)","UCR Time Series Classification Archive (timeseriesclassification.com, cs.ucr.edu)",http://timeseriesclassification.com/description.php?Dataset=GunPoint,"This dataset involves one female actor and one male actor performing one of two motions: drawing a gun from a holster and pointing it (Gun-Draw), or simply pointing with their index finger (Point). The time series represents the x-axis centroid of the actor's right hand.  Each action lasts approximately 5 seconds, resulting in 150 data points (sampled at approximately 30 frames per second).  The dataset contains a total of 200 instances: 50 for training and 150 for testing, with class labels provided for both sets.  The data is pre-normalized and split into training and testing sets.","This is a well-known ""hello world"" example in time series classification, used in numerous research papers.",243,7,10,Reconciled on 2025-08-01 18:23:59,,,,,,Y,,,,,,,,Y,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
GunPointAgeSpan,Motion,1,150,Not specified,"timeseriesclassification.com, cs.ucr.edu",GunPointAgeSpan Description,"A variation of the GunPoint dataset. The binary classification task is to distinguish between Gun-Draw and Point motions, using data from actors recorded 15 years apart.",Donated by A. Ratanamahatana & E. Keogh. It includes 135 instances for training and 316 for testing.,244,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:24:38,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
GunPointMaleVersusFemale,Motion,1,150,33.3 ms (30 fps),"timeseriesclassification.com, cs.ucr.edu",GunPointMaleVersusFemale Description,A variation of the GunPoint dataset. The binary classification task is to distinguish between the male and female actors performing the gestures.,Donated by A. Ratanamahatana & E. Keogh. It includes 135 instances for training and 316 for testing.,245,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:24:38,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
GunPointOldVersusYoung,Motion,1,150,Not specified,"timeseriesclassification.com, cs.ucr.edu",GunPointOldVersusYoung Description,A variation of the GunPoint dataset. The binary classification task is to distinguish between the original 2003 recordings and new 2018 recordings of the same actors.,Donated by A. Ratanamahatana & E. Keogh. It includes 136 instances for training and 315 for testing.,246,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:24:39,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
Ham,Spectro,1,431,Not specified,"timeseriesclassification.com, cs.ucr.edu",Ham Description,This Spectro dataset contains 1-dimensional time series. The binary classification task is based on spectroscopy data of ham.,Donated by K. Kemsley & A. Bagnall. It includes 109 instances for training and 105 for testing.,247,6,10,Auto-reconciled (1 unique source) on 2025-08-01 18:24:40,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
HandMovementDirection,Motion,10,400,Uniform,timeseriesclassification.com,https://www.timeseriesclassification.com/description.php?Dataset=HandMovementDirection,"Magnetoencephalography (MEG) data recorded while a subject moves their hand in one of four directions. The 10 variables represent signals from 10 MEG sensors. The task is to classify the direction of hand movement into one of four classes.  The dataset contains 160 training instances and 74 testing instances, totaling 234 instances.","A 4-class classification problem. Part of the UEA & UCR multivariate time series classification archives.  This dataset allows researchers to explore decoding movement intent from neurophysiological signals, a key challenge in neuroprosthetics and Brain-Computer Interfaces (BCI).",248,7,10,Reconciled on 2025-08-01 18:24:50,,,,,,Y,,,,,,,,Y,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
